Time,syn3B_1,syn3B_2,syn3B_3,syn3B_4
0,0,0,0,0
4,0,0,0,0
8,1.462512622,3.022753522,1.185449972,0
12,1.249846353,2.927298793,1.029651273,-0.380550123
16,0.551630055,2.913915432,0.629936828,-3.906834039
20,0.806775975,2.349728435,0.556938994,-0.665855469
24,0.843283523,2.350095136,0.737975357,-0.114570231
28,0.93751691,2.092939327,0.707457218,-1.074715981
32,0.859786429,2.388915644,0.077983995,-2.383610861
36,2.483611376,3.609668025,1.599130291,0.424031013
40,4.022941077,5.382658757,3.097892998,2.244650481
44,5.771745924,7.186970935,4.887122759,4.1533842
48,5.612078084,7.271246789,5.423221831,4.762377189
52,5.423449321,7.116341915,5.283459291,4.532173025
56,5.488181296,7.151549429,5.212443377,4.406927412
60,4.956854265,6.551488954,4.951008593,4.204498915
64,5.087302866,6.844321539,4.971936678,4.284574485
68,5.166060681,6.779033204,4.858206367,4.252915931
72,4.970968597,6.549333925,4.610724637,3.992412657
